firstName,lastName,war
Ellis,Kinder,28.9
Brandon,Phillips,28.9
Kevin,Seitzer,28.9
Lee,Smith,28.9
Edgardo,Alfonzo,28.8
John,Anderson,28.8
Bob,Bailey,28.8
A.J.,Burnett,28.8
Mike,Donlin,28.8
Art,Nehf,28.8
Ossie,Bluege,28.7
Matt,Carpenter,28.7
Billy,Jurges,28.7
Henry,Larkin,28.7
Gary,Peters,28.7
Lew,Burdette,28.6
Chris,Short,28.6
Alfonso,Soriano,28.6
Elmer,Valo,28.6
Vernon,Wells,28.6
Don,Baylor,28.5
Alex,Fernandez,28.5
Freddie,Lindstrom,28.5
Terry,Pendleton,28.4
Jack,Rowe,28.4
Gio,Gonzalez,28.3
Carlos,Lee,28.3
Sixto,Lezcano,28.3
Tim,McCarver,28.3
Lee,Meadows,28.3
Bob,Meusel,28.3
Melvin,Mora,28.3
Terry,Puhl,28.3
Bob,Watson,28.3
Lindy,McDaniel,28.2
Jarrod,Washburn,28.2
Rondell,White,28.2
Josh,Hamilton,28.1
Mike,Hampton,28.1
J.J.,Hardy,28.1
Paul,Konerko,28.1
Del,Crandall,28.0
Trevor,Hoffman,28.0
Denis,Menke,28.0
Reb,Russell,28.0
Denard,Span,28.0
Terry,Steinbach,28.0
General,Crowder,27.9
Hal,McRae,27.9
George,Mogridge,27.9
Mike,Moore,27.9
Roy,Smalley,27.9
Amos,Strunk,27.9
Clete,Boyer,27.8
Jackie,Jensen,27.8
Jack,McDowell,27.8
Jouett,Meekin,27.8
Garry,Templeton,27.8
Willson,Contreras,27.7
